merge	CD45	CD3	Ki67	CD117	MHC_II	B220	CX3CR1	CD163	CD38	Ly6G	Ly6C	CD19	CD127	CD62L	CD11c	CD44	CD24	CD103	Gr_1	FceRIa	TCRgd	F4_80	TCRb	CD64	CD69	CD25	CD86	NK1.1	CD27	CD206	FoxP3	CD317	IgD	CD80	PD_1	CD172a	CCR2	Siglec_F	MERTK	CD4	CD8	CD11b
DC	0.56485676	0.062136788	0.059200291	0	1	0.107045716	0.332379635	0.780681324	0.464852644	0	0	0	0	0.330565771	0	0.006907304	0.409392797	1	0	0	0.031737604	0	0	0.110684072	0.028107314	0	0	0	0	0	0	0.195039034	0.052063598	0.031430482	0.337572721	0.78467449	0.957212827	0	0	0	0	0.567062368
Macrophage	0.903564544	0.073760167	0	0	0.471252719	0	0.393974496	0.836579706	0.194787427	0	0.010017712	0	0	0.276418185	0.505664679	0.529106706	1	0.932317401	0.141914477	0	0.027854934	0.103787729	0.084915908	0.141840711	0.013924505	0	0	0	0	0	0	0.101611279	0.010953648	0.207212525	0.691503119	1	0.970470855	0.891473035	0.097570722	0	0	1
MDSC	0.456798732	0	0.068928173	0	0.484151122	0	0.04860336	0.127886598	0.081639222	0.864100143	0.678220345	0	0	0	0	0.337482224	0.898893082	0.438434212	1	0.370263207	0.120996284	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12920999	0.745419039	0.201246934	0	0	0	0	1
Monocyte	0.561551258	0	0	0	0.911829085	0.017134156	0.180783407	0.513197005	0.592340986	0	1	0	0	0.1061103	0	0.163642288	0.506936414	0.836136954	0	0	0	0	0	0.089966505	0.117591675	0	0.157739377	0	0	0	0	0.976742283	0	0.025043157	0.145378371	0.498126111	0.53097672	0	0	0	0	0.383198357
Neutrophil	0.477181411	0.068461604	0.010813981	0	0.911248599	0.036728709	0.231514569	0.748999068	0.624030882	0.276313117	0	0	0	0.254424352	0	0.015804541	0.133432701	1	0.919782682	0	0.053961326	0	0.071678581	0.108533102	0.066562558	0.012356224	0	0	0	0	0	0.216114906	0.026148159	0	0.357270653	0.556346519	1	0	0	0.024399984	0	0.3388907
T cell	0.627925839	0.148482329	0.082173267	0	0.548278964	0	0.090027645	0.220287139	0.218818964	0	0	0	0	0.012618169	0	0.118723559	0.020095987	0.695793515	0	0	0	0	0.658313153	0	0.022620084	0	0	0	0	0	0	0.077761789	0	0	0.08833367	0.054212737	0.345593242	0	0	0.209648084	0	0.034408203
B cell	0.817644174	0	0.265770061	0	1	0.484100535	0.132721526	0	0.66189711	0	0	0.529873413	0	0	0	0.221274435	0.577778359	0	0	0	0.143652075	0	0	0	0	0	0	0	0	0	0	0.040683833	0.787352319	0	0	0	0.010993048	0	0	0	0	0
NK cell	0.311019453	0	0.171087138	0	0.78065967	0.030169053	0.156247057	0.533608294	0.504747334	0	0	0	0	0.365902634	0	0.507181135	0.313490795	0.723275641	0.143799306	0	0	0.01010328	0	0.033772017	0.008005667	0	0	0.35542257	0	0.008288974	0	0.498969284	0.026513657	0	0.108348375	0.388721766	0.62700227	0.368518145	0	0	0	0
