cluster	CD45	CD3	Ki67	CD117	MHC_II	B220	CX3CR1	CD163	CD38	Ly6G	Ly6C	CD19	CD127	CD62L	CD11c	CD44	CD24	CD103	Gr_1	FceRIa	TCRgd	F4_80	TCRb	CD64	CD69	CD25	CD86	NK1.1	CD27	CD206	FoxP3	CD317	IgD	CD80	PD_1	CD172a	CCR2	Siglec_F	MERTK	CD4	CD8	CD11b
C14	0.40346156	0.108302294	0.080594211	0.024622806	0.712219964	0.085543137	0.198125078	0.575344684	0.483183463	0.242072471	0.0522182	0.029161881	0.040620781	0.225085411	0.034774291	0.093054403	0.161606678	0.852421368	0.741125426	0.063292521	0.084604549	0.023328869	0.165985098	0.118143531	0.100012314	0.063170387	0.048523876	0.012902171	0.018567493	0.011913037	0.018035451	0.225558918	0.119932088	0.055264236	0.282824977	0.436032303	0.793584938	0.014589393	0.024923721	0.100571858	0.007797626	0.283824648
C15	0.347699807	0.079185549	0.05448774	0.028982761	0.914858664	0.080025055	0.199136801	0.68350401	0.406763348	0.011239051	0.028974837	0.004407273	0.028757852	0.289315583	0.022281386	0.063931882	0.137545457	0.897634642	0.033968494	0.002088559	0.097315095	0.017683464	0.048089702	0.141616144	0.091580514	0.062576308	0.02418125	0.012991883	0.008238003	0.006956193	0.00997378	0.316673825	0.05098647	0.088608629	0.294713426	0.532276601	0.808946172	0.015633099	0.05939452	0.048044665	0.00144068	0.357820392
C16	0.376538895	0.125388153	0.170787904	0.037132304	0.990963108	0.074507716	0.585677489	0.751892305	0.242591528	0.004187782	0.025027723	0.001789583	0.028642735	0.444742633	0.011428281	0.035844312	0.372979074	0.879292895	0.016402447	0.001344246	0.102870795	0.004443596	0.038762425	0.091454216	0.363489421	0.045004209	0.014337451	0.006782454	0.003986909	0.007691154	0.010577924	0.210438146	0.028661349	0.054277693	0.334413475	0.851263817	1	0.023867415	0.040994583	0.024140791	0	0.53387273
C17	0.715902736	0.409687759	0.193404549	0.005331297	0.364828778	0.0238222	0.093995406	0.055208204	0.161267966	0	0.024596793	0.000100011	0.140680242	0.01911732	0.001842143	0.443737765	0.08940788	0.136947619	0.006585427	0	0.020993877	0	0.674057981	0.009409606	0.145456115	0.021665864	0.102623057	0.001236394	0.143729573	0.013087545	0.043728387	0.094039489	0.019007004	0.002809914	0.088974064	0.021986996	0.086024985	0.001317327	0.004119431	0.716721499	0.003215206	0.036405399
C18	0.699947829	0.184207016	0.10950927	0.002015828	0.348048645	0.034912586	0.244086117	0.047765713	0.098288041	0.000495171	0.122416068	0.001293589	0.033544742	0.020004652	0.025714444	0.433424956	0.210554832	0.09446453	0.009215764	0	0.022522294	0.003536574	0.373583647	0.012204543	0.014636005	0.011033999	0.223960646	0.043949397	0.545307144	0.017283333	0.009978932	0.082095061	0.021524499	0.004558573	0.03536253	0.037628709	0.139710769	0.00409653	0.00091462	0.036954182	0.110089384	0.078105524
C19	0.647384655	0.012008901	0.183030493	0.005154823	1	0.363440005	0.118635406	0.040287953	0.547136085	0.002541848	0.023869411	0.436598174	0.011376982	0.005840679	0.008291488	0.248759265	0.432323075	0.04825493	0.002203133	0	0.138686642	0.006791963	0.019785275	0.001311615	0.03294007	0	0.040248425	0.00332648	0.001575915	0.014834181	0.02451686	0.080270491	0.667098916	0.005140397	0.008806187	0.021016951	0.059958728	0.001191013	0	0.028157088	0	0.022886209
C20	0.568451736	0.022110154	0.708503987	0.02107901	1	0.411856081	0.191227301	0.115225382	0.247699206	0.007014786	0.039985561	0.211923397	0.010988073	0.025812456	0.013409527	0.136770955	0.64091205	0.220894217	0.010539839	0	0.229499084	0.011964362	0.034601159	0.012699894	0.060760461	0.006977292	0.223395932	0.004512478	0	0.022654978	0.030344936	0.120871968	0.031521269	0.018343085	0.034317068	0.04800923	0.162585795	0.002492886	0.000899955	0.050898533	0	0.058707364
C21	0.262493026	0	0.150199884	0.021939146	0.621488165	0.072262114	0.14597252	0.4121104	0.386386397	0.024079767	0.063407934	0.012665079	0.018668047	0.288085079	0.027292028	0.397073828	0.251025986	0.571069142	0.139791994	0	0.040045928	0.060791474	0.048415009	0.064736594	0.055739595	0.036737018	0.027760089	0.275551585	0.019991854	0.060275048	0.033987152	0.386373057	0.073901507	0.016552823	0.116345504	0.301992603	0.476977639	0.276849755	0.041240296	0.00187868	0	0.052669464
C22	0.469136797	0.126529782	0.09257068	0.015108877	0.514995743	0.043995529	0.114048385	0.2753001	0.236624686	0.009339301	0.029287283	0.006779036	0.039864273	0.099494287	0.036060649	0.130017744	0.091453363	0.625809747	0.016924986	0	0.03620807	0.008373449	0.486904578	0.043303195	0.109691645	0.024644582	0.065912531	0.006704572	0.024041214	0.004769504	0.009338766	0.133592532	0.06937614	0.020573999	0.16605214	0.160974618	0.380931314	0.007784814	0.01276177	0.193268467	0.017798928	0.124267471
C23	0.573417757	0.144676911	0.128779777	0.013801536	0.465051585	0.035650425	0.112714047	0.240203945	0.203325179	0.003661494	0.461027875	0.003528185	0.096331251	0.091873012	0.037294118	0.1413378	0.071875281	0.508851698	0.01424817	0	0.030538176	0.006706917	0.495217789	0.036334953	0.079461122	0.019603245	0.227934354	0.007035885	0.041471127	0.008175396	0.012280684	0.145143132	0.029429813	0.015989113	0.104969959	0.135375648	0.324366976	0.006093801	0.008843587	0.044430811	0.115536729	0.103230735
C24	0.514925594	0.056936513	0.146054205	0.029064168	0.992926004	0.247702831	0.205381021	0.467523312	0.491637422	0.029632799	0.051358916	0.234465048	0.024022895	0.163301778	0.023405458	0.152070255	0.35301425	0.741206001	0.034082459	0.000222901	0.121364466	0.019256884	0.056569566	0.071615704	0.079790993	0.035357213	0.056814113	0.012751948	0.007594597	0.019174002	0.026126393	0.217658957	0.559340928	0.040375574	0.176822828	0.328875256	0.592357456	0.01277724	0.028488841	0.05605756	0.002846916	0.227998008
C25	0.355228654	0.0084146	0.066772262	0.00485228	0.871405792	0.10599369	0.069519681	0.115684714	0.192910783	0.039045045	0.016029852	0.037410583	0.001328308	0.028719878	0.00265941	0.025196037	0.170104748	0.389884908	0.003974096	0	0.058966126	0.002474963	0.013849417	0.009474229	0.015858795	0.003076762	0.039045218	0.001853044	0	0.001729845	0.00582286	0.053976777	0.415136655	0.001863451	0.032687494	0.044707953	0.139416002	0.00271133	0	0.012740505	0	0.043989729
C26	0.425982892	0.033359194	0.055788492	0.008593472	0.987580828	0.183412483	0.121871647	0.30775028	0.157974469	0.020413382	0.020079927	0.053380092	0.009196952	0.098025567	0.017954441	0.055258569	0.554034457	0.563831042	0.010682855	0	0.10123605	0.006812043	0.031868239	0.042551978	0.04385485	0.019021665	0.282841467	0.005172525	0.000139399	0.000832222	0.004161447	0.09521313	0.036434036	0.030382586	0.143419338	0.187464761	0.347539263	0.005881179	0.005239083	0.031193876	0	0.115368867
