Ctrl	AR	Pollen	Dextran	P-D	pNDF	Desloratadine
25.44	27.88	34.06	37.28	40.64	42.91	38.35
21.28	22.31	29.18	34.29	43.19	45.43	31.29
23.29	26.73	28.73	39.2	0    32.38	40.29	30.28
17.21	20.15	35.97	32.18	43.21	47.58	36.52
26.75	18.26	36.44	41.29	42.37	43.29	37.22
25.01	29.42	35.01	38.13	40.22	45.49	30.53
						
						
						
